title,url,alt text,missing alt,blip caption,ocr,ocr_result,result
,https://www.magicalmelghat.in/public/website/image/jointlogonew.png,,yes,the four logos of the indian army,yes,Yee,Yee the four logos of the indian army
,https://www.magicalmelghat.in/public/website/image/melghatlogo-name.png,,yes,a green and black logo with a black and white logo,no,,a green and black logo with a black and white logo
,https://www.magicalmelghat.in/public/website/image/logo.png,,yes,the flag of pakistan,no,,the flag of pakistan
,https://www.magicalmelghat.in/public/website/image/close.png,,yes,the icon for the firebox,no,,the icon for the firebox
,https://www.magicalmelghat.in/public/website/image/satymevlogo.png,,yes,the logo of the indian army,no,,the logo of the indian army
,https://www.magicalmelghat.in/public/website/image/mh-logo.png,,yes,the logo of the indian air force,no,,the logo of the indian air force
...,https://magicalmelghat.in/public/images/banner/1585136941hero1.png,...,no,a tiger sitting on the ground,no,,a tiger sitting on the ground
...,https://magicalmelghat.in/public/images/banner/1585136982hero2.png,...,no,a tiger sitting on a log in a zoo,no,,a tiger sitting on a log in a zoo
...,https://magicalmelghat.in/public/images/banner/1585136983hero3.jpg,...,no,two young lions walking down a dirt road,no,,two young lions walking down a dirt road
,https://www.magicalmelghat.in/public/website/image/meghat-paces/melghat-image1.jpeg,,yes,a small house in the middle of a forest,no,,a small house in the middle of a forest
,https://www.magicalmelghat.in/public/website/image/meghat-paces/melghat-image5.jpg,,yes,a tiger walking on a dirt road with a jeep in the background,no,,a tiger walking on a dirt road with a jeep in the background
,https://www.magicalmelghat.in/public/website/image/meghat-paces/melghat-image4.jpg,,yes,people riding elephants in the wild,no,,people riding elephants in the wild
,https://www.magicalmelghat.in/public/website/image/meghat-paces/melghat-image8.jpg,,yes,know the rules of know the rules of know the rules of know the rules of know the rules of,no,,know the rules of know the rules of know the rules of know the rules of know the rules of
,https://www.magicalmelghat.in/public/website/image/meghat-paces/melghat-image6.jpg,,yes,a group of people walking down a path through tall grass,no,,a group of people walking down a path through tall grass
,https://www.magicalmelghat.in/public/website/image/meghat-paces/melghat-image3.jpg,,yes,a train traveling through a forest filled with trees,no,,a train traveling through a forest filled with trees
,https://www.magicalmelghat.in/public/website/image/meghat-paces/melghat-image5.jpg,,yes,a tiger walking on a dirt road with a jeep in the background,no,,a tiger walking on a dirt road with a jeep in the background
,https://www.magicalmelghat.in/public/website/image/hero-slider/honey_badger.png,,yes,a badger standing on a white background,no,,a badger standing on a white background
,https://www.magicalmelghat.in/public/website/image/hero-slider/frog.png,,yes,a frog sitting on top of a white surface,no,,a frog sitting on top of a white surface
,https://www.magicalmelghat.in/public/website/image/hero-slider/lion_tailed_macaque.png,,yes,a monkey with a long tail and a long tail,no,,a monkey with a long tail and a long tail
,https://www.magicalmelghat.in/public/website/image/hero-slider/snow_leopard.png,,yes,a snow leopard laying down on the ground,no,,a snow leopard laying down on the ground
,https://www.magicalmelghat.in/public/website/image/hero-slider/barn-owl.png,,yes,"barn owl in flight, isolated on a white background",no,,"barn owl in flight, isolated on a white background"
,https://magicalmelghat.in/public/images/gallery/159316636314680575_1190599951006239_2231611931293505624_n.jpg,,yes,a stone flower on the side of a building,no,,a stone flower on the side of a building
,https://magicalmelghat.in/public/images/gallery/159316637425446386_1612969112102652_3262269178880555884_n.jpg,,yes,the ruins of the ruins of the ancient city of san,no,,the ruins of the ruins of the ancient city of san
,https://magicalmelghat.in/public/images/gallery/159316638241930291_1936259209773639_2534260193332559872_o.jpg,,yes,great horned owl family,no,,great horned owl family
,https://magicalmelghat.in/public/images/gallery/159316639061276737_2306325969433626_3844622936879136768_o.jpg,,yes,two black bears walking through a field,no,,two black bears walking through a field
,https://magicalmelghat.in/public/images/gallery/159316639872626137_2668870943179125_5716639889458462720_n.jpg,,yes,a spider is hanging on the side of a window,no,,a spider is hanging on the side of a window
,https://magicalmelghat.in/public/images/gallery/159316640879669384_2714973868568832_4876283002025410560_n.jpg,,yes,a bird sitting on a branch,no,,a bird sitting on a branch
,https://magicalmelghat.in/public/images/gallery/159316641879856704_2714568788609340_8177676413722165248_n.jpg,,yes,a small owl sitting on the ground,no,,a small owl sitting on the ground
,https://magicalmelghat.in/public/images/gallery/159316642879966685_2714973011902251_8244248247896375296_n.jpg,,yes,a bird sitting on a branch in the woods,no,,a bird sitting on a branch in the woods
,https://magicalmelghat.in/public/images/gallery/159316644280033340_2714972695235616_2690914946450980864_n.jpg,,yes,a bird is sitting on a dead leaf,no,,a bird is sitting on a dead leaf
,https://magicalmelghat.in/public/images/gallery/159316645680551320_2714973578568861_8899019405195739136_n.jpg,,yes,a bird sitting on top of a dry grass field,no,,a bird sitting on top of a dry grass field
,https://magicalmelghat.in/public/images/gallery/159316646580851125_2714568881942664_3348000013086097408_n.jpg,,yes,a bird perched on a tree branch,no,,a bird perched on a tree branch
,https://magicalmelghat.in/public/images/gallery/159316647381224975_2744693288930223_7781789529790218240_n.jpg,,yes,a black cat walking across a muddy river,no,,a black cat walking across a muddy river
,https://magicalmelghat.in/public/images/gallery/159316648282424433_2756752581057627_2026690682097238016_o.jpg,,yes,a black bear walking through the grass,no,,a black bear walking through the grass
,https://magicalmelghat.in/public/images/gallery/159316649484136744_2850619205004297_1812784427239997440_n.jpg,,yes,the view from the top of the mountain,no,,the view from the top of the mountain
,https://magicalmelghat.in/public/images/gallery/159316650384446453_2805838759482342_310995476642004992_o.jpg,,yes,a bird is perched on a tree branch,no,,a bird is perched on a tree branch
,https://magicalmelghat.in/public/images/gallery/159316651684903102_2826650614067823_3906608295737032704_n.jpg,,yes,a tiger in the wild,no,,a tiger in the wild
,https://magicalmelghat.in/public/images/gallery/159316652596102215_3023650111034538_34333036556320768_n.jpg,,yes,a bird perched on a branch in the middle of a tree,no,,a bird perched on a branch in the middle of a tree
,https://magicalmelghat.in/public/images/gallery/159316653796287399_3023650224367860_5775727223428349952_n.jpg,,yes,a cat walking through the woods,no,,a cat walking through the woods
,https://magicalmelghat.in/public/images/gallery/1593166547103041041_3842299695840842_8593999477715079406_o.jpg,,yes,a large crater surrounded by trees and a blue sky,no,,a large crater surrounded by trees and a blue sky
,https://magicalmelghat.in/public/images/gallery/1593166556103289594_3101458956586986_7172799703549806296_o.jpg,,yes,a tree trunk with a bird in it ' s nest,no,,a tree trunk with a bird in it ' s nest
,https://magicalmelghat.in/public/images/gallery/1593166777Abhijeet Kothale-8498.jpg,,yes,a large tree on a hill,no,,a large tree on a hill
,https://magicalmelghat.in/public/images/gallery/1593166783Ashish Tomar (19).jpg,,yes,"the ruins of machal, machal, and machal valley",no,,"the ruins of machal, machal, and machal valley"
,https://magicalmelghat.in/public/images/gallery/1593166788Ashish Tomar (tribal).jpg,,yes,a group of people standing around a tree,no,,a group of people standing around a tree
,https://magicalmelghat.in/public/images/gallery/1593166794Ashish tomar Chikhaldara (3).jpg,,yes,a view of the mountains and clouds from a plane,no,,a view of the mountains and clouds from a plane
,https://magicalmelghat.in/public/images/gallery/1593166801Ashish Tomar new supplies (14).jpg,,yes,the view from the top of the mountain,no,,the view from the top of the mountain
,https://magicalmelghat.in/public/images/gallery/1593166806FSO-1.JPG,,yes,a small owl perched on a branch,no,,a small owl perched on a branch
,https://magicalmelghat.in/public/images/gallery/1593166812Gaur GD muratar.JPG,,yes,a cow walking down a dirt road in the jungle,no,,a cow walking down a dirt road in the jungle
,https://magicalmelghat.in/public/images/gallery/1593166831sawan deshmukh (1).JPG,,yes,a black and white butterfly sitting on a plant,no,,a black and white butterfly sitting on a plant
,https://magicalmelghat.in/public/images/gallery/1593166838sawan deshmukh (19).JPG,,yes,a small dog drinking water from a small pond,no,,a small dog drinking water from a small pond
,https://magicalmelghat.in/public/images/gallery/1593166850sawan deshmukh (23).jpg,,yes,a bird sitting on top of a tree branch,no,,a bird sitting on top of a tree branch
,https://magicalmelghat.in/public/images/gallery/1593166857sawan deshmukh (33).jpg,,yes,a view of a mountain with a small house,yes,Lv,Lv a view of a mountain with a small house
,https://magicalmelghat.in/public/images/gallery/1593166864sawan deshmukh (43).jpg,,yes,a foggy forest with trees and moss,no,,a foggy forest with trees and moss
,https://magicalmelghat.in/public/images/gallery/1593166869sawan deshmukh (65).JPG,,yes,a deer standing in the middle of a field,no,,a deer standing in the middle of a field
,https://magicalmelghat.in/public/images/gallery/1593166877sawan deshmukh (198).JPG,,yes,a tara tara tara tara tara tara tara tara tara tara tara tara tara tara tara tara tara tara tara,no,,a tara tara tara tara tara tara tara tara tara tara tara tara tara tara tara tara tara tara tara
,https://magicalmelghat.in/public/images/gallery/1593166884sawan deshmukh (209).JPG,,yes,a deer in the woods,no,,a deer in the woods
,https://magicalmelghat.in/public/images/gallery/1593166890sawan deshmukh (289).JPG,,yes,a stream of water,no,,a stream of water
,https://magicalmelghat.in/public/images/gallery/1593166896sawan deshmukh (311).JPG,,yes,a bird is sitting in a tree,no,,a bird is sitting in a tree
,https://magicalmelghat.in/public/images/gallery/1593166901sawan deshmukh (341).JPG,,yes,a bear walking across a dry field,no,,a bear walking across a dry field
,https://magicalmelghat.in/public/images/gallery/1593166907sawan deshmukh (434).JPG,,yes,a small bird perched on a branch in the forest,no,,a small bird perched on a branch in the forest
,https://magicalmelghat.in/public/images/gallery/1593167157sawan deshmukh (490).JPG,,yes,a herd of cattle,no,,a herd of cattle
,https://magicalmelghat.in/public/images/gallery/1593167163sulai waterfall.jpg,,yes,a green forest with a waterfall in the middle,no,,a green forest with a waterfall in the middle
,https://magicalmelghat.in/public/images/gallery/1593167169Sunil wakode (13).JPG,,yes,a small stream of water,no,,a small stream of water
,https://magicalmelghat.in/public/images/gallery/1593167176Vishal Bansod (54).jpg,,yes,a small white flower on a tree branch,no,,a small white flower on a tree branch
,https://magicalmelghat.in/public/images/gallery/1593167181Vishal Bansod (65).jpg,,yes,a large building with a gate,no,,a large building with a gate
,https://magicalmelghat.in/public/images/gallery/1593167188Vishal Bansod-tribal (1).jpg,,yes,a table with various silver items on it,no,,a table with various silver items on it
,https://magicalmelghat.in/public/images/gallery/1593167193Vishal Bansod-tribal (6).jpg,,yes,a group of people sitting on the ground,no,,a group of people sitting on the ground
,https://magicalmelghat.in/public/images/gallery/159316864581298720_2744693365596882_2602071963090288640_n.jpg,,yes,a deer standing in tall grass in the sun,no,,a deer standing in tall grass in the sun
,https://magicalmelghat.in/public/images/gallery/159316865998205525_3054193204646895_7806453340832792576_o.jpg,,yes,a small bird perched on a branch in the woods,no,,a small bird perched on a branch in the woods
,https://magicalmelghat.in/public/images/gallery/1593168666100597174_3060748503991365_7870124968275607552_n.jpg,,yes,a peacock with its feathers spread out in the woods,no,,a peacock with its feathers spread out in the woods
,https://magicalmelghat.in/public/images/gallery/1593168674104072900_3116745058391709_3149238378524404441_n.jpg,,yes,a peacock walking across a dirt road,no,,a peacock walking across a dirt road
,https://magicalmelghat.in/public/images/gallery/1593406985105567599_3155678421165039_8371016628353044482_n.jpg,,yes,a cat sitting in the middle of a field,no,,a cat sitting in the middle of a field
,https://magicalmelghat.in/public/images/gallery/1593406991105833586_3155678441165037_4595632984494291811_n.jpg,,yes,a deer standing in the woods with its ants,no,,a deer standing in the woods with its ants
,https://magicalmelghat.in/public/images/gallery/1593406997106006192_3155153177884230_3202240484376983859_n.jpg,,yes,a dog is laying on the ground,no,,a dog is laying on the ground
,https://magicalmelghat.in/public/images/gallery/1593407003106099472_3155678304498384_7202370489757523257_n.jpg,,yes,a buffalo standing on a dirt road in the woods,no,,a buffalo standing on a dirt road in the woods
,https://magicalmelghat.in/public/images/gallery/1593407009106125171_3153491081383773_3309516510711048953_n.jpg,,yes,a deer standing in the middle of a forest,no,,a deer standing in the middle of a forest
,https://magicalmelghat.in/public/images/gallery/1593412389IMG-20200130-WA0274.jpg,,yes,a black bear walking across a rocky area,no,,a black bear walking across a rocky area
,https://magicalmelghat.in/public/images/gallery/1593412395praiz photo 5 2.JPG,,yes,a leopard in the jungle,no,,a leopard in the jungle
,https://magicalmelghat.in/public/images/gallery/159341250520200203_193422.jpg,,yes,a view of the mountains and valleys from the top of a hill,no,,a view of the mountains and valleys from the top of a hill
,https://magicalmelghat.in/public/images/gallery/159341251220190930181207_IMG_0696.JPG,,yes,a bird is perched on a branch in the woods,no,,a bird is perched on a branch in the woods
,https://magicalmelghat.in/public/images/gallery/1593418304Bird eye view of Narnala fort.jpg,,yes,aerial view of the jungle,no,,aerial view of the jungle
,https://magicalmelghat.in/public/images/gallery/1593418316Canon on Narnala fort.jpeg,,yes,a cannon on a wall,no,,a cannon on a wall
,https://magicalmelghat.in/public/images/gallery/1593418325Khuni buruj of Narnala fort.jpeg,,yes,a view of a castle through a hole in the ground,no,,a view of a castle through a hole in the ground
,"https://magicalmelghat.in/public/images/gallery/1593418333khuni buruj, Narnala Fort.jpg",,yes,a castle in the woods,no,,a castle in the woods
,https://magicalmelghat.in/public/images/gallery/1593418370Shardul baba Tekadi.jpg,,yes,a view of a forest with a mountain in the background,no,,a view of a forest with a mountain in the background
,https://magicalmelghat.in/public/images/gallery/1594966073106903751_3978095095594634_1019283787081990215_n.jpg,,yes,a cow and her calf in a grassy field,no,,a cow and her calf in a grassy field
,https://magicalmelghat.in/public/images/gallery/1594966088106930331_3982402328497244_5887950030692114695_o.jpg,,yes,a bird perched on a branch of a tree,no,,a bird perched on a branch of a tree
,https://magicalmelghat.in/public/images/gallery/1594966117108150939_3278968305492532_7107643211108636329_n.jpg,,yes,a small deer standing in the grass,no,,a small deer standing in the grass
,https://magicalmelghat.in/public/images/gallery/1594966158109152885_3996198670450943_4171110658163194646_n.jpg,,yes,a leopard in the wild,no,,a leopard in the wild
,https://magicalmelghat.in/public/images/gallery/1594966172109931082_3278968508825845_953944479802803587_n.jpg,,yes,a bear is standing in the grass near a tree,no,,a bear is standing in the grass near a tree
,https://magicalmelghat.in/public/images/gallery/1602652491WhatsApp Image 2020-10-14 at 10.05.18 AM.jpeg,,yes,a herd of cattle walking down a dirt road,no,,a herd of cattle walking down a dirt road
,https://magicalmelghat.in/public/images/gallery/164940561834484096_2069447329960475_3946207705227591680_n.jpg,,yes,a small house with a porch and a porch,no,,a small house with a porch and a porch
,https://magicalmelghat.in/public/images/gallery/1649405741A type cottages at semadoh.jpg,,yes,a - frame house in the forest,no,,a - frame house in the forest
,https://magicalmelghat.in/public/images/gallery/164940578729357076_100508604127805_1989747924627619840_n.jpg,,yes,a room with two beds and a desk,no,,a room with two beds and a desk
,https://magicalmelghat.in/public/images/gallery/1649405836IMG-20180115-WA0044.jpg,,yes,a room with a bed and a staircase,no,,a room with a bed and a staircase
,https://magicalmelghat.in/public/images/gallery/1649406028dormitary at semadoh.jpg,,yes,a room with bunk beds,no,,a room with bunk beds
,https://magicalmelghat.in/public/images/gallery/1649406333WhatsApp Image 2018-04-25 at 7.49.22 PM.jpeg,,yes,a small building with a green roof,no,,a small building with a green roof
,https://magicalmelghat.in/public/images/gallery/1649406358kolkas cottage.jpeg,,yes,a bed in a room,no,,a bed in a room
,https://magicalmelghat.in/public/images/gallery/1649406530kolkas dormitory.jpeg,,yes,a room with bunk beds and a window,no,,a room with bunk beds and a window
,https://magicalmelghat.in/public/images/gallery/1649406596KOLKAS 1.jpeg,,yes,a bed sitting in a bedroom next to a desk,no,,a bed sitting in a bedroom next to a desk
,https://magicalmelghat.in/public/images/gallery/1649406618WhatsApp Image 2018-05-21 at 6.47.21 PM.jpeg,,yes,a long table,no,,a long table
,https://www.magicalmelghat.in/public/website/image/close.png,,yes,the icon for the firebox,no,,the icon for the firebox
,https://www.magicalmelghat.in/public/website/image/close.png,,yes,the icon for the firebox,no,,the icon for the firebox
,https://www.magicalmelghat.in/public/website/image/satymevlogo.png,,yes,the logo of the indian army,no,,the logo of the indian army
,https://www.magicalmelghat.in/public/website/image/mh-logo.png,,yes,the logo of the indian air force,no,,the logo of the indian air force
