sector_name,sector_link,title,link
Agriculture_Cooperation,https://igod.gov.in/sector/GRNsIHQBsvhI6u6Q3tju/organizations,,
,,"AGRISNET - Directorate of Agriculture & Food Production, Odisha",https://agrisnetodisha.ori.nic.in
,,Academic Management System-Central Agricultural University,https://amscau.icar.gov.in
,,Academic Management System-Central Institute of Fisheries Education,https://amscife.icar.gov.in
,,Academic Management System-Indian Veterinary Research Institute,https://amsivri.icar.gov.in
,,Academic Management System-National Dairy Research Institute,https://amsndri.icar.gov.in
,,"Academic Management System-University of Horticultural Sciences, Bagalkot",https://amsuhs.icar.gov.in
,,Agri Stack Portal,https://agristack.gov.in
,,Agri-Clinics and Agri-Business Centres,https://acabcmis.gov.in
,,Agri-Exchange,https://agriexchange.apeda.gov.in
,,"Agricultural Census, New Delhi",https://agcensus.gov.in
,,Agricultural Education Portal,https://education.icar.gov.in
,,"Agricultural Engineering Department, Tamil Nadu",https://aed.tn.gov.in/ta
,,"Agricultural Marketing Department, Andhra Pradesh",https://market.ap.nic.in
,,"Agricultural Marketing Department, Karnataka",https://krishimaratavahini.karnataka.gov.in
,,Agricultural Meteorology Division,https://www.imdagrimet.gov.in
,,"Agricultural Scientists Recruitment Board (ASRB), New Delhi",https://asrb.org.in
,,"Agricultural Technology Management Agency (ATMA) Directorate and SAMETI, Gujarat",https://atma.gujarat.gov.in
,,"Agriculture Department, Andhra Pradesh",https://www.apagrisnet.gov.in
,,"Agriculture Department, Karnataka",https://raitamitra.karnataka.gov.in
,,"Agriculture Department, Ladakh",https://ladakh.nic.in/agriculture
,,"Agriculture Department, Sikkim",https://agri.sikkim.gov.in
,,"Agriculture Department, West Bengal",https://matirkatha.net
,,"Agriculture Development and Farmer Welfare and Bio-Technology Department, Chhattisgarh",https://agriportal.cg.nic.in
,,"Agriculture Info Management System, Kerala",https://www.aims.kerala.gov.in
,,Agriculture Marketing Information System Network (AGMARKNET),https://agmarknet.gov.in
,,"Agriculture Produce Procurement Portal, Himachal Pradesh",https://hpappp.nic.in
