title,url,alt text,missing alt,clip caption,ocr,ocr_result,result
,https://www.magicalmelghat.in/public/website/image/jointlogonew.png,,yes,"offences related to trade and commerce in trophies , animals articles etc .",yes,en,"en offences related to trade and commerce in trophies , animals"
,https://www.magicalmelghat.in/public/website/image/melghatlogo-name.png,,yes,"com primary primary total website visits 1 0 0 5 3 5 3 2 0 2 0 2 0 2 5 melghat tiger reserve conservation foundation this is an official website of melghat tiger reserve , forest department , goverment of maharashtra , india",yes,Nr lay MELGHAT TIGER RESERVE,Nr lay MELGHAT TIGER RESERVE com primary primary total website visits 1 0 0 5
,https://www.magicalmelghat.in/public/website/image/logo.png,,yes,"com primary primary total website visits 1 0 0 5 3 5 3 2 0 2 0 2 0 2 5 melghat tiger reserve conservation foundation this is an official website of melghat tiger reserve , forest department , goverment of maharashtra , india",yes,Nett MELGHAT TIGER RESERVE,Nett MELGHAT TIGER RESERVE com primary primary total website visits 1 0 0 5
,https://www.magicalmelghat.in/public/website/image/close.png,,yes,private vehicles allowed suv only .,no,,private vehicles allowed suv only .
,https://www.magicalmelghat.in/public/website/image/satymevlogo.png,,yes,"offences related to trade and commerce in trophies , animals articles etc .",no,,"offences related to trade and commerce in trophies , animals"
,https://www.magicalmelghat.in/public/website/image/mh-logo.png,,yes,"offences related to trade and commerce in trophies , animals articles etc .",no,,"offences related to trade and commerce in trophies , animals"
...,https://magicalmelghat.in/public/images/banner/1585136941hero1.png,...,no,"it was among the first nine tiger reserves notified in 1 9 7 3 7 4 under project tiger , a wildlife conservation project initiated in india in 1 9 7 2 to protect bengal tigers .",no,,it was among the first nine tiger reserves notified in
...,https://magicalmelghat.in/public/images/banner/1585136982hero2.png,...,no,"it was established as a wildlife sanctuary in 1 9 6 7 , and was declared a tiger reserve in 1 9 7 4 .",no,,it was established as a wildlife sanctuary in 1 9
...,https://magicalmelghat.in/public/images/banner/1585136983hero3.jpg,...,no,"it was established as a wildlife sanctuary in 1 9 6 7 , and was declared a tiger reserve in 1 9 7 4 .",no,,it was established as a wildlife sanctuary in 1 9
,https://www.magicalmelghat.in/public/website/image/meghat-paces/melghat-image1.jpeg,,yes,facilities are comfortable and basic in nature suiting the forest atmosphere where it is located .,no,,facilities are comfortable and basic in nature suiting the forest
,https://www.magicalmelghat.in/public/website/image/meghat-paces/melghat-image5.jpg,,yes,"it was established as a wildlife sanctuary in 1 9 6 7 , and was declared a tiger reserve in 1 9 7 4 .",no,,it was established as a wildlife sanctuary in 1 9
,https://www.magicalmelghat.in/public/website/image/meghat-paces/melghat-image4.jpg,,yes,check availability full day safari date total people maximum 6 people plus driver is permitted in one vehicle .,no,,check availability full day safari date total people maximum 6
,https://www.magicalmelghat.in/public/website/image/meghat-paces/melghat-image8.jpg,,yes,read more things to know rules regulation please follow the rules and regulation as per the wildlife protection act 1 9 7 2 to avoid impose punishment for violating the same .,no,,read more things to know rules regulation please follow the
,https://www.magicalmelghat.in/public/website/image/meghat-paces/melghat-image6.jpg,,yes,please find the details in how to reach to these various destination in melghat tiger reserve read more events of melghat melghat keeps organizing various event for all .,no,,please find the details in how to reach to these
,https://www.magicalmelghat.in/public/website/image/meghat-paces/melghat-image3.jpg,,yes,"read more things to do melghat tiger reserve offers various activities like day safari , full day safari , night machaan stay , kayaking , elephant ride , trekking , adventure activities like zorbi ball , burma bridge , river crossing , parallel bridge and many more .",no,,read more things to do melghat tiger reserve offers various
,https://www.magicalmelghat.in/public/website/image/meghat-paces/melghat-image5.jpg,,yes,"it was established as a wildlife sanctuary in 1 9 6 7 , and was declared a tiger reserve in 1 9 7 4 .",no,,it was established as a wildlife sanctuary in 1 9
,https://www.magicalmelghat.in/public/website/image/hero-slider/honey_badger.png,,yes,read more do you know honey badger honey badgers have been listed in the guinness book of world record as the most fearless animal on the planet their thick skin helps protect them from the deadliest of all snakebites .,no,,read more do you know honey badger honey badgers have
,https://www.magicalmelghat.in/public/website/image/hero-slider/frog.png,,yes,it is a large species of frog found in india .,no,,it is a large species of frog found in india
,https://www.magicalmelghat.in/public/website/image/hero-slider/lion_tailed_macaque.png,,yes,lion tailed macaque it is a medium to sized macaque of southern india liontailed macaques are found in dense forests along the western ghats .,no,,lion tailed macaque it is a medium to sized macaque
,https://www.magicalmelghat.in/public/website/image/hero-slider/snow_leopard.png,,yes,snow leopards are an endangered species .,no,,snow leopards are an endangered species .
,https://www.magicalmelghat.in/public/website/image/hero-slider/barn-owl.png,,yes,barn owl tyto alba barn owls can see an object at 2 meters with an illumination of 0 .,no,,barn owl tyto alba barn owls can see an object
,https://magicalmelghat.in/public/images/gallery/159316636314680575_1190599951006239_2231611931293505624_n.jpg,,yes,they inhabit holes and bushes near permanent water sources .,no,,they inhabit holes and bushes near permanent water sources .
,https://magicalmelghat.in/public/images/gallery/159316637425446386_1612969112102652_3262269178880555884_n.jpg,,yes,"the popular destination for the tourism point of view are chikhaldara , aamzari , semadoh , kolkas , harisal shahanur .",no,,the popular destination for the tourism point of view are
,https://magicalmelghat.in/public/images/gallery/159316638241930291_1936259209773639_2534260193332559872_o.jpg,,yes,the endangered and back from extinction forest owlet is also found in various areas of melghat .,no,,the endangered and back from extinction forest owlet is also
,https://magicalmelghat.in/public/images/gallery/159316639061276737_2306325969433626_3844622936879136768_o.jpg,,yes,"apart from tigers the other prominent animals are sloth bear , indian gaur , sambar deer , leopard , nilgais , etc .",no,,apart from tigers the other prominent animals are sloth bear
,https://magicalmelghat.in/public/images/gallery/159316639872626137_2668870943179125_5716639889458462720_n.jpg,,yes,the summers are good for animal sightings .,no,,the summers are good for animal sightings .
,https://magicalmelghat.in/public/images/gallery/159316640879669384_2714973868568832_4876283002025410560_n.jpg,,yes,the schedules give absolute protection to certain species and these cannot be infringed on any account .,no,,the schedules give absolute protection to certain species and these
,https://magicalmelghat.in/public/images/gallery/159316641879856704_2714568788609340_8177676413722165248_n.jpg,,yes,the endangered and back from extinction forest owlet is also found in various areas of melghat .,no,,the endangered and back from extinction forest owlet is also
,https://magicalmelghat.in/public/images/gallery/159316642879966685_2714973011902251_8244248247896375296_n.jpg,,yes,read more things to know rules regulation please follow the rules and regulation as per the wildlife protection act 1 9 7 2 to avoid impose punishment for violating the same .,no,,read more things to know rules regulation please follow the
,https://magicalmelghat.in/public/images/gallery/159316644280033340_2714972695235616_2690914946450980864_n.jpg,,yes,"they also like to eat roots , berries and bulbs .",no,,"they also like to eat roots , berries and bulbs"
,https://magicalmelghat.in/public/images/gallery/159316645680551320_2714973578568861_8899019405195739136_n.jpg,,yes,the summers are good for animal sightings .,no,,the summers are good for animal sightings .
,https://magicalmelghat.in/public/images/gallery/159316646580851125_2714568881942664_3348000013086097408_n.jpg,,yes,the endangered and back from extinction forest owlet is also found in various areas of melghat .,no,,the endangered and back from extinction forest owlet is also
,https://magicalmelghat.in/public/images/gallery/159316647381224975_2744693288930223_7781789529790218240_n.jpg,,yes,read more do you know honey badger honey badgers have been listed in the guinness book of world record as the most fearless animal on the planet their thick skin helps protect them from the deadliest of all snakebites .,no,,read more do you know honey badger honey badgers have
,https://magicalmelghat.in/public/images/gallery/159316648282424433_2756752581057627_2026690682097238016_o.jpg,,yes,"apart from tigers the other prominent animals are sloth bear , indian gaur , sambar deer , leopard , nilgais , etc .",no,,apart from tigers the other prominent animals are sloth bear
,https://magicalmelghat.in/public/images/gallery/159316649484136744_2850619205004297_1812784427239997440_n.jpg,,yes,"melghat tiger reserve is located on the southern offshoot of the satpura hill range in central india , called gavilgarh hill .",no,,melghat tiger reserve is located on the southern offshoot of
,https://magicalmelghat.in/public/images/gallery/159316650384446453_2805838759482342_310995476642004992_o.jpg,,yes,the endangered and back from extinction forest owlet is also found in various areas of melghat .,no,,the endangered and back from extinction forest owlet is also
,https://magicalmelghat.in/public/images/gallery/159316651684903102_2826650614067823_3906608295737032704_n.jpg,,yes,"it was among the first nine tiger reserves notified in 1 9 7 3 7 4 under project tiger , a wildlife conservation project initiated in india in 1 9 7 2 to protect bengal tigers .",no,,it was among the first nine tiger reserves notified in
,https://magicalmelghat.in/public/images/gallery/159316652596102215_3023650111034538_34333036556320768_n.jpg,,yes,"apart from tigers the other prominent animals are sloth bear , indian gaur , sambar deer , leopard , nilgais , etc .",no,,apart from tigers the other prominent animals are sloth bear
,https://magicalmelghat.in/public/images/gallery/159316653796287399_3023650224367860_5775727223428349952_n.jpg,,yes,read more things to know rules regulation please follow the rules and regulation as per the wildlife protection act 1 9 7 2 to avoid impose punishment for violating the same .,no,,read more things to know rules regulation please follow the
,https://magicalmelghat.in/public/images/gallery/1593166547103041041_3842299695840842_8593999477715079406_o.jpg,,yes,"read more things to do melghat tiger reserve offers various activities like day safari , full day safari , night machaan stay , kayaking , elephant ride , trekking , adventure activities like zorbi ball , burma bridge , river crossing , parallel bridge and many more .",no,,read more things to do melghat tiger reserve offers various
,https://magicalmelghat.in/public/images/gallery/1593166556103289594_3101458956586986_7172799703549806296_o.jpg,,yes,the endangered and back from extinction forest owlet is also found in various areas of melghat .,no,,the endangered and back from extinction forest owlet is also
,https://magicalmelghat.in/public/images/gallery/1593166777Abhijeet Kothale-8498.jpg,,yes,read more place to go melghat tiger reserve has many places to explore .,no,,read more place to go melghat tiger reserve has many
,https://magicalmelghat.in/public/images/gallery/1593166783Ashish Tomar (19).jpg,,yes,tourists can explore melghat in all seasons but the monsoons starting mid july till end of september offers the best views .,no,,tourists can explore melghat in all seasons but the monsoons
,https://magicalmelghat.in/public/images/gallery/1593166788Ashish Tomar (tribal).jpg,,yes,read more photo experience see more booking for accommodation day safari please visit www .,no,,read more photo experience see more booking for accommodation day
,https://magicalmelghat.in/public/images/gallery/1593166794Ashish tomar Chikhaldara (3).jpg,,yes,"the melghat , nestling in the satpuda hill ranges of forsyths and dunbars central indias vast tracts of inviolate natural forests , consisting of unique and representative ecosystems with rich biodiversity and varied habitats offered by deep valleys locally known as khoras and high hills locally known as ballas , daunted with rivers and nallahs having water all the year round",no,,"the melghat , nestling in the satpuda hill ranges of"
